2026-03-12 02:05:40 | WARNING | ingestion.api_football_client | [api_football] No API key found. Set API_FOOTBALL_KEY env var. Requests will fail with 401.
2026-03-12 02:05:40 | WARNING | ingestion.api_football_client | [api_football] No API key found. Set API_FOOTBALL_KEY env var. Requests will fail with 401.
2026-03-12 02:05:40 | INFO    | __main__ | Running daily update for season 2025
2026-03-12 02:05:40 | INFO    | ingestion.base_scraper | [fbref] Starting pipeline for season 2025
2026-03-12 02:05:46 | INFO    | ingestion.base_scraper | Fetching: https://fbref.com/en/comps/9/2025-2026/schedule/2025-2026-Premier-League-Scores-and-Fixtures
2026-03-12 02:05:47 | ERROR   | __main__ | [fbref] Daily update failed: 403 Client Error: Forbidden for url: https://fbref.com/en/comps/9/2025-2026/schedule/2025-2026-Premier-League-Scores-and-Fixtures
2026-03-12 02:05:47 | INFO    | ingestion.base_scraper | [understat] Starting pipeline for season 2025
2026-03-12 02:05:49 | INFO    | ingestion.base_scraper | Fetching: https://understat.com/league/EPL/2025
2026-03-12 02:05:50 | ERROR   | ingestion.understat_scraper | [understat] Could not find datesData JSON for season 2025
2026-03-12 02:05:50 | INFO    | ingestion.base_scraper | Saved raw data: C:\Users\couga\OneDrive\Documents\My Projects\PL-Predictor\data\raw\understat_season_2025.csv (0 rows)
2026-03-12 02:25:54 | INFO    | __main__ | Running daily update for season 2025
2026-03-12 02:25:54 | INFO    | ingestion.base_scraper | [fbref] Starting pipeline for season 2025
2026-03-12 02:25:58 | INFO    | ingestion.base_scraper | Fetching: https://fbref.com/en/comps/9/2025-2026/schedule/2025-2026-Premier-League-Scores-and-Fixtures
2026-03-12 02:25:58 | ERROR   | __main__ | [fbref] Daily update failed: 403 Client Error: Forbidden for url: https://fbref.com/en/comps/9/2025-2026/schedule/2025-2026-Premier-League-Scores-and-Fixtures
2026-03-12 02:25:58 | INFO    | ingestion.base_scraper | [understat] Starting pipeline for season 2025
2026-03-12 02:26:00 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures?league=39&season=2025&status=FT "HTTP/1.1 200 OK"
2026-03-12 02:26:00 | ERROR   | ingestion.understat_scraper | [understat] API errors: {'plan': 'Free plans do not have access to this season, try from 2022 to 2024.'}
2026-03-12 02:26:00 | INFO    | ingestion.base_scraper | Saved raw data: C:\Users\couga\OneDrive\Documents\My Projects\PL-Predictor\data\raw\understat_season_2025.csv (0 rows)
2026-03-12 02:26:00 | WARNING | __main__ | Both FBRef and Understat data are empty.
2026-03-12 02:26:00 | INFO    | __main__ | Updated matches: 0 rows
2026-03-12 02:26:01 | INFO    | httpx | HTTP Request: GET https://v3.football.api-sports.io/fixtures?league=39&season=2025&status=FT "HTTP/1.1 200 OK"
2026-03-12 02:26:01 | ERROR   | ingestion.understat_scraper | [understat] API errors: {'plan': 'Free plans do not have access to this season, try from 2022 to 2024.'}
